"ASSOCIATIONID","ASSOCIATION","MONTH","YEAR","CLOSEDLISTINGS","PENDINGLISTINGS","ACTIVELISTINGS","AVERAGELISTINGPRICE","MEDIANLISTINGPRICE","AVERAGECLOSINGPRICE","MEDIANCLOSINGPRICE","TOTALDOLLARSSOLD","AVERAGEDAYSONMARKET"
4355,"REALTOR® Association of Southern Kentucky",1,2023,175,363,661,376433,294900,277237,240000,48516594,103
4375,"Heart of Kentucky Association of REALTORS®",12,2022,162,201,481,325167,275000,240869,253500,39020794,75
4290,"Kentucky-Barkley Lakes Board of REALTORS®",12,2022,41,2,79,282319,221950,222307,180000,9114600,76
4355,"REALTOR® Association of Southern Kentucky",12,2022,208,338,665,366325,287500,253736,230000,52777090,77
4335,"Greater Owensboro Board of REALTORS®",11,2022,125,126,318,230981,228828,223753,200000,27969160,69
4375,"Heart of Kentucky Association of REALTORS®",11,2022,157,,,253886,229990,246982,225000,38776524,69
4290,"Kentucky-Barkley Lakes Board of REALTORS®",11,2022,37,3,83,311788,269900,248202,191500,9183500,83
4355,"REALTOR® Association of Southern Kentucky",11,2022,207,366,721,362334,290000,274027,249900,56723722,83
4245,"Eastern Kentucky Association of REALTORS®",10,2022,86,96,519,164519,,156171,135100,13430727,105
4335,"Greater Owensboro Board of REALTORS®",10,2022,141,128,289,230917,215500,226997,213000,32006570,68
4375,"Heart of Kentucky Association of REALTORS®",10,2022,244,,,271527,250000,264597,264597,64561716,65
4315,"Mayfield-Graves Board of REALTORS®",10,2022,23,5,17,216606,224900,228250,217000,5249750,64
4355,"REALTOR® Association of Southern Kentucky",10,2022,233,380,702,373355,299900,264144,255000,61545629,80
4245,"Eastern Kentucky Association of REALTORS®",9,2022,82,88,519,160821,,170278,150000,13962799,145
4335,"Greater Owensboro Board of REALTORS®",9,2022,150,154,243,228346,219990,227945,212650,34191694,52
4375,"Heart of Kentucky Association of REALTORS®",9,2022,235,,,274455,250000,267153,244900,62780974,61
4290,"Kentucky-Barkley Lakes Board of REALTORS®",9,2022,44,5,75,353380,242400,195841,179950,8617037,65
4355,"REALTOR® Association of Southern Kentucky",9,2022,306,427,664,364310,297900,268799,240000,82252516,75
4245,"Eastern Kentucky Association of REALTORS®",8,2022,86,110,522,185721,,173550,151000,14925269,145
4335,"Greater Owensboro Board of REALTORS®",8,2022,182,173,240,247449,219900,242954,215250,44217589,62
4375,"Heart of Kentucky Association of REALTORS®",8,2022,244,,,267516,249900,264143,237500,64451080,66
4290,"Kentucky-Barkley Lakes Board of REALTORS®",8,2022,40,9,82,312560,274900,194547,171750,7781899,63
4340,"Paducah Board of REALTORS®",8,2022,102,38,243,267744,199900,207039,159500,21118054,66
4355,"REALTOR® Association of Southern Kentucky",8,2022,306,485,624,361116,298400,287379,249700,86369063,69
